Point,Stress (MPa),Strain (Extension in mm),exx,eyy
1,20.17,0.019,0.0001,0.0002
2,108.03,0.453,0.0023,0.0045
3,123.07,0.889,0.0045,0.0089
4,133.94,1.32,0.0066,0.0132
5,141.06,1.77,0.0089,0.0177
6,145.84,2.202,0.0110,0.0220
7,149.13,2.633,0.0132,0.0263
8,153.08,3.069,0.0153,0.0307
9,155.14,3.519,0.0176,0.0352
10,157.47,3.952,0.0198,0.0395
11,156.98,4.385,0.0219,0.0438
12,159.05,5.001,0.0250,0.0500
13,158.59,5.27,0.0264,0.0527
14,156.83,5.702,0.0285,0.0570
15,153.05,6.135,0.0307,0.0614
16,146.58,6.585,0.0329,0.0658
17,137.5,7.02,0.0351,0.0702
18,124.9,7.451,0.0373,0.0745
19,16.03,7.891,0.0395,0.0789
